epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,423.336,1.01002,1.65781,0.98898,0.98784,0.51904,0.90364,0.67536,0.91309,2.30708,0.93081,0.000657895,0.000657895,0.000657895
2,846.665,0.95053,0.99902,0.97051,0.91922,0.8738,0.94266,0.70154,0.91524,1.02372,0.96793,0.00129834,0.00129834,0.00129834
3,1275.03,0.95895,0.88597,0.98695,0.90204,0.88019,0.94422,0.71802,0.9014,0.8555,0.96466,0.00191238,0.00191238,0.00191238
4,1685.01,0.95271,0.80271,0.98915,0.92104,0.89441,0.96431,0.72237,0.92468,0.77163,0.98262,0.0018812,0.0018812,0.0018812
5,2095.85,0.93237,0.71952,0.97366,0.90088,0.92173,0.96065,0.73282,0.8758,0.69604,0.95768,0.0018416,0.0018416,0.0018416
6,2504.54,0.88472,0.66319,0.96052,0.91591,0.93958,0.97248,0.74659,0.84712,0.57664,0.95207,0.001802,0.001802,0.001802
7,2915.01,0.88896,0.63009,0.95974,0.9145,0.91214,0.94897,0.73123,0.80652,0.6085,0.9375,0.0017624,0.0017624,0.0017624
8,3327.28,0.88284,0.60561,0.96357,0.93916,0.92332,0.97068,0.76169,0.83192,0.54059,0.94473,0.0017228,0.0017228,0.0017228
9,3739.2,0.86142,0.57138,0.95273,0.9291,0.92971,0.97354,0.76608,0.81994,0.528,0.93247,0.0016832,0.0016832,0.0016832
10,4148.81,0.85945,0.5616,0.94893,0.94427,0.90415,0.9723,0.76403,0.838,0.51942,0.95146,0.0016436,0.0016436,0.0016436
11,4595.05,0.82726,0.53919,0.93968,0.94394,0.92971,0.97641,0.77612,0.79464,0.51168,0.93847,0.001604,0.001604,0.001604
12,5045.98,0.83158,0.55513,0.93965,0.92911,0.95527,0.97781,0.77562,0.78422,0.49192,0.93534,0.0015644,0.0015644,0.0015644
13,5503.92,0.81012,0.52142,0.93398,0.92651,0.9466,0.97828,0.78219,0.76734,0.48763,0.92787,0.0015248,0.0015248,0.0015248
14,5938.41,0.81225,0.51592,0.93762,0.94791,0.92013,0.97883,0.78795,0.77057,0.48559,0.92537,0.0014852,0.0014852,0.0014852
15,6372.21,0.79219,0.50455,0.92506,0.94763,0.92499,0.97611,0.791,0.75298,0.46689,0.91977,0.0014456,0.0014456,0.0014456
16,6804.65,0.79557,0.49414,0.9266,0.95006,0.9377,0.98385,0.79686,0.75836,0.46903,0.91622,0.001406,0.001406,0.001406
17,7247.11,0.79556,0.49752,0.92535,0.95081,0.95847,0.98453,0.78792,0.76748,0.46079,0.92187,0.0013664,0.0013664,0.0013664
18,7684.45,0.76347,0.49021,0.91949,0.9663,0.9377,0.98319,0.79356,0.76341,0.44234,0.91768,0.0013268,0.0013268,0.0013268
19,8121.17,0.77724,0.47954,0.92098,0.95069,0.94249,0.97881,0.78828,0.74712,0.43511,0.91782,0.0012872,0.0012872,0.0012872
20,8555.85,0.77763,0.46988,0.91878,0.95068,0.92368,0.9772,0.78496,0.77087,0.45039,0.92412,0.0012476,0.0012476,0.0012476
21,8988.79,0.77863,0.47254,0.91887,0.95495,0.94089,0.98308,0.79062,0.77621,0.43098,0.92092,0.001208,0.001208,0.001208
22,9408.7,0.7634,0.45846,0.9128,0.9429,0.94966,0.98303,0.79349,0.73443,0.42886,0.90983,0.0011684,0.0011684,0.0011684
23,9842.63,0.76508,0.4521,0.91487,0.94771,0.95544,0.98371,0.7928,0.75422,0.42026,0.92006,0.0011288,0.0011288,0.0011288
24,10278.1,0.75137,0.45062,0.90955,0.94459,0.95306,0.98582,0.81204,0.71991,0.40609,0.90405,0.0010892,0.0010892,0.0010892
25,10721.6,0.75842,0.44605,0.91453,0.9566,0.95687,0.98676,0.80069,0.73228,0.4237,0.90731,0.0010496,0.0010496,0.0010496
26,11160.7,0.7547,0.44698,0.90971,0.95253,0.95527,0.98523,0.8043,0.73036,0.40959,0.91009,0.00101,0.00101,0.00101
27,11589.2,0.73431,0.4343,0.902,0.9363,0.96275,0.98422,0.79415,0.7284,0.4293,0.904,0.0009704,0.0009704,0.0009704
28,12004.4,0.73501,0.42862,0.90468,0.96403,0.94201,0.98204,0.81228,0.73826,0.40698,0.90702,0.0009308,0.0009308,0.0009308
29,12446.1,0.74497,0.42923,0.90943,0.95814,0.95063,0.98538,0.80415,0.74203,0.40055,0.91383,0.0008912,0.0008912,0.0008912
30,12885.9,0.73231,0.42193,0.90529,0.95426,0.94409,0.9829,0.80935,0.72375,0.41841,0.90434,0.0008516,0.0008516,0.0008516
31,13339.3,0.72575,0.42118,0.90774,0.96293,0.9545,0.98571,0.8121,0.73257,0.39607,0.90707,0.000812,0.000812,0.000812
32,13804.6,0.72751,0.41625,0.90085,0.94224,0.95847,0.98593,0.82316,0.70768,0.37773,0.90075,0.0007724,0.0007724,0.0007724
33,14247.8,0.71814,0.40304,0.90619,0.93866,0.95335,0.98488,0.80465,0.72492,0.39028,0.90347,0.0007328,0.0007328,0.0007328
34,14708.9,0.70812,0.39961,0.89407,0.9617,0.96258,0.98791,0.8154,0.73176,0.37688,0.90819,0.0006932,0.0006932,0.0006932
35,15144.7,0.71063,0.39945,0.89856,0.95166,0.94342,0.98142,0.8031,0.70946,0.40894,0.90124,0.0006536,0.0006536,0.0006536
36,15576.9,0.7059,0.41382,0.89252,0.9504,0.94897,0.98386,0.81748,0.71119,0.39758,0.90102,0.000614,0.000614,0.000614
37,16020.8,0.7177,0.39977,0.89029,0.96423,0.94727,0.98619,0.81535,0.71575,0.37099,0.90296,0.0005744,0.0005744,0.0005744
38,16472.3,0.70061,0.39024,0.8993,0.95478,0.95687,0.98433,0.80213,0.72049,0.37996,0.905,0.0005348,0.0005348,0.0005348
39,16947.3,0.69338,0.3764,0.88404,0.96292,0.94888,0.98772,0.81847,0.70588,0.35891,0.90009,0.0004952,0.0004952,0.0004952
40,17419.9,0.68924,0.38075,0.8911,0.97573,0.92812,0.9857,0.82744,0.70384,0.36912,0.89534,0.0004556,0.0004556,0.0004556
41,17877.4,0.64134,0.33792,0.86574,0.97192,0.93996,0.9851,0.81952,0.70687,0.36411,0.89544,0.000416,0.000416,0.000416
42,18336.9,0.63164,0.32798,0.86312,0.95505,0.95041,0.98626,0.81136,0.71601,0.38361,0.89741,0.0003764,0.0003764,0.0003764
43,18805.9,0.63419,0.32798,0.86315,0.96525,0.94249,0.98515,0.81673,0.70513,0.38039,0.89063,0.0003368,0.0003368,0.0003368
44,19265.7,0.63637,0.32224,0.86452,0.95504,0.95018,0.98723,0.82392,0.7001,0.36287,0.89431,0.0002972,0.0002972,0.0002972
45,19709.6,0.62356,0.31454,0.86213,0.95799,0.94716,0.98784,0.82361,0.69655,0.35739,0.89221,0.0002576,0.0002576,0.0002576
46,20124.3,0.62427,0.31107,0.86217,0.93936,0.96507,0.98866,0.83173,0.6879,0.34575,0.89006,0.000218,0.000218,0.000218
47,20543.4,0.61395,0.30552,0.8599,0.9514,0.96326,0.98838,0.82824,0.69775,0.34821,0.8927,0.0001784,0.0001784,0.0001784
48,20963.2,0.60346,0.29284,0.85844,0.96297,0.95527,0.98772,0.82986,0.68816,0.3427,0.88919,0.0001388,0.0001388,0.0001388
49,21382.6,0.59505,0.2963,0.85376,0.96136,0.95396,0.98833,0.83032,0.69042,0.3467,0.88883,9.92e-05,9.92e-05,9.92e-05
50,21800,0.60083,0.29096,0.85426,0.95946,0.95687,0.98842,0.83399,0.68763,0.3418,0.88799,5.96e-05,5.96e-05,5.96e-05
